Date,Time,Trade Name,Generic Name,Quantity,Amount,Profit,Dispenser
31/12/2021,2:21 pm,Azithro 250mg (Swazi),Azithro 250mg (Swazi),40,91920,17920,pharouk kaks
31/12/2021,2:21 pm,Azithro 500mg (Turkey),Azithro 500mg,10,70500,5500,pharouk kaks
31/12/2021,2:21 pm,Mediven S Ointment,Mediven S Ointment,5,31500,1500,pharouk kaks
31/12/2021,2:21 pm,Clindamycin caps 150mg UK,Clindamycin caps 150mg UK,3,72000,15000,pharouk kaks
31/12/2021,2:21 pm,Dicloday Gel 30mg,Dicloday Gel 30mg,12,25200,2400,pharouk kaks
31/12/2021,2:21 pm,Acinet Dry Syp 228.5mg/5mls,Acinet Dry Syp 228.5mg/5mls,4,26000,4000,pharouk kaks
31/12/2021,2:21 pm,Losacar 50mg,Losacar 50mg,1,38150,1870,pharouk kaks
31/12/2021,2:21 pm,MCG,MCG,18,68400,16200,pharouk kaks
31/12/2021,2:21 pm,Panadol syrp (Gsk) 100ML,Panadol syrp (Gsk) 100ML,2,17000,2560,pharouk kaks
31/12/2021,2:21 pm,Gramocef-o 400mg 10s,Gramocef-o 400mg 10's,5,149500,14950,pharouk kaks
31/12/2021,2:21 pm,Ornilox Tabs,Ornilox Tabs,6,161400,16140,pharouk kaks
31/12/2021,2:21 pm,Honey cure Ointment,Honey cure Ointment,1,11500,1900,pharouk kaks
31/12/2021,2:21 pm,Ascoril Expct Syp 100ml,Ascoril Expct Syp 100ml,5,29250,875,pharouk kaks
31/12/2021,2:21 pm,Ors-Flavoured,ORS-Flavoured,50,13250,750,pharouk kaks
31/12/2021,2:21 pm,Eno Scht 48,Eno Scht 48,144,50400,4350.000096,pharouk kaks
31/12/2021,2:21 pm,Paracetamol 1000s Pkt,Paracetamol 1000's Pkt,4,108000,6800,pharouk kaks
31/12/2021,2:21 pm,Ibumex Tabs 10x10,Ibumex Tabs 10x10,1,4800,1000,pharouk kaks
31/12/2021,2:21 pm,Zinkid 100's(Agog),Zinkid 100's(Agog),10,60000,12000,pharouk kaks
31/12/2021,2:21 pm,Diazepam/cozepam Tabs 5mg,Diazepam/cozepam Tabs 5mg,10,55000,10000,pharouk kaks
31/12/2021,2:21 pm,Betrozole Susp 60mls,Betrozole Susp 60mls,5,10000,1750,pharouk kaks
31/12/2021,2:21 pm,Ambrodil Drops,Ambrodil Drops,0,0,0,pharouk kaks
31/12/2021,2:21 pm,Ambrodil Drops,Ambrodil Drops,0,0,0,pharouk kaks
31/12/2021,2:21 pm,Ursoliv Caps 250mg,Ursoliv Caps 250mg,1,62500,3000,pharouk kaks
28/12/2021,10:01 pm,Zaha tabs 250mg 6s,Zaha tabs 250mg 6's,0,0,0,CRISTOPHER
31/12/2021,1:06 pm,Hydrea 500mg Caps (India),Hydrea 500mg Caps (India),1,60900,3300,pharouk kaks
31/12/2021,3:33 pm,Menthoplus Balm,Menthoplus Balm,12,14400,1800,CRISTOPHER
31/12/2021,1:32 pm,Menthoplus Balm,Menthoplus Balm,12,14400,1800,CRISTOPHER
31/12/2021,1:32 pm,Paradenk Supp 125mg,Paradenk Supp 125mg,1,6800,800,CRISTOPHER
31/12/2021,3:53 pm,Palaxin Tabs 9s,Palaxin Tabs 9s,10,80000,7000,CRISTOPHER
31/12/2021,9:49 pm,Menthoplus Balm,Menthoplus Balm,12,14400,1200,CRISTOPHER
31/12/2021,9:49 pm,Cetamol Syrup 60ml,Cetamol Syrup 60ml,4,10800,2000,CRISTOPHER
31/12/2021,3:53 pm,Lydia postpil tab 1s,Lydia postpil tab 1's,20,35000,4800,CRISTOPHER
31/12/2021,2:18 pm,Giving Sets,Giving Sets,50,22500,6495,CRISTOPHER
31/12/2021,1:32 pm,Co-Mether 60ml,Co-Mether 60ml,5,20000,2000,CRISTOPHER
31/12/2021,1:32 pm,Hifenac Tabs 100mg 100s,Hifenac Tabs 100mg 100's,0,0,0,CRISTOPHER
31/12/2021,12:58 pm,Amoxikid 125mg 100s,Amoxikid 125mg 100's,1,5500,1000,CRISTOPHER
